date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2021-05-03,1.3877,1.4747,1.3871,1.4346,30865267.07,1620086399999,44421457.69022400,170036,17362607.87000000,24996465.98107500,0,44279312.138622,0.03323836431536936,0.3487840910626922
2021-05-04,1.4362,1.445,1.2721,1.2742,42901870.73,1620172799999,58509548.40884700,189399,21535136.79000000,29430481.70702800,0,54665563.684166,-0.11856753400994632,0.3678840669509374
2021-05-05,1.2741,1.4533,1.2541,1.4425,32738167.36,1620259199999,45399489.30203000,162663,18055805.87000000,25078128.55762600,0,47224806.41679999,0.12405918869986673,0.38274924193137067
2021-05-06,1.4419,1.5792,1.4129,1.5444,64557373.8,1620345599999,97093827.82343400,285835,34983589.05000000,52586628.50687100,0,99702408.09672,0.06825776600782674,0.3885887491979913
2021-05-07,1.5444,1.6965,1.471,1.5769,65135937.22,1620431999999,104316798.65401100,280377,32775808.07000000,52521190.23305600,0,102712859.402218,0.020825409021459906,0.38117734842235235
2021-05-08,1.5775,1.6244,1.488,1.5182,33259498.39,1620518399999,51808859.47925000,136132,16856862.61000000,26273358.58568200,0,50494570.455698,-0.03793547182887336,0.38235876858217716
2021-05-09,1.5182,1.53,1.4261,1.5151,32906775.52,1620604799999,48907840.04583700,140802,15974343.06000000,23781954.64262500,0,49857055.590352,-0.0020439792168781,0.38134718801898276
2021-05-10,1.5152,1.5561,1.3054,1.3707,37404899.93,1620691199999,54447186.44127600,157292,17469472.98000000,25469948.51975900,0,51270896.334051,-0.1001598851284542,0.39500785622456697
2021-05-11,1.3704,1.4776,1.323,1.474,29157905.15,1620777599999,40989221.68554100,104153,14399605.83000000,20257974.90024300,0,42978752.191099994,0.07265823551194639,0.3912322070918415
2021-05-12,1.474,1.4997,1.2396,1.2734,41345401.83,1620863999999,58393225.47200000,137321,19581077.72000000,27690170.92070000,0,52649234.690322004,-0.14628930516635688,0.4168174224793209
2021-05-13,1.2732,1.453,1.201,1.3526,58295062.52,1620950399999,78196637.57440500,167907,29750044.76000000,39956666.25197600,0,78849901.56455201,0.06033817755791457,0.4211059264885807
2021-05-14,1.3528,1.49,1.3229,1.4775,38997654.08,1621036799999,55060123.90556100,149528,20850230.82000000,29488514.56819700,0,57619033.9032,0.08832280413941368,0.4296016107900386
2021-05-15,1.4772,1.537,1.373,1.3888,54344627.65,1621123199999,78460398.25059200,185184,26984894.38000000,39001332.36934400,0,75473818.88032,-0.06191140537416756,0.427785007965723
2021-05-16,1.3884,1.54,1.3318,1.3956,52071682.45,1621209599999,75466582.15416800,189193,26232294.58000000,38074188.66485600,0,72671240.02722,0.004884365406533309,0.426069105096271
2021-05-17,1.396,1.4126,1.256,1.2842,39031598.92,1621295999999,51810286.74638300,130768,18865491.53000000,25091560.62914900,0,50124379.333064005,-0.08318847395267104,0.4132200699279266
2021-05-18,1.2854,1.393,1.2567,1.365,30186993.39,1621382399999,40528520.16683800,109896,15919296.59000000,21391303.39206900,0,41205245.977350004,0.06101847225911211,0.3907116140121483
2021-05-19,1.3658,1.388,0.7561,0.9309,111653363.05,1621468799999,116802122.80653900,273181,54304193.42000000,56693414.41719000,0,103938115.66324499,-0.38275784749661595,0.5345198301624502
2021-05-20,0.9329,1.12,0.8377,1.1089,64554630.71,1621555199999,65147022.70987700,160341,32075175.62000000,32449222.11619200,0,71584629.994319,0.17497195183672604,0.5659473305967487
2021-05-21,1.1086,1.1472,0.8441,0.9736,50329798.21,1621641599999,50912188.22400800,126561,24193872.58000000,24529935.79591900,0,49001091.537256,-0.13012327028585274,0.5768054086732923
2021-05-22,0.9735,1.0153,0.8552,0.9739,38750541.91,1621727999999,36701002.60981400,101024,18818367.99000000,17849206.02080000,0,37739152.766149,0.00030808729383611025,0.5757850347148313
2021-05-23,0.9739,1.0405,0.6774,0.8178,65498680.99,1621814399999,54530447.55749400,147857,30829792.56000000,25704131.15884900,0,53564821.313622,-0.17469082103661165,0.5998325029141114
2021-05-24,0.8169,1.0063,0.8005,0.9811,32235991.16,1621900799999,29697060.23005000,93970,17200423.26000000,15859918.44991500,0,31626730.927076,0.1820565832388032,0.6269577058251115
2021-05-25,0.9813,1.0179,0.8672,0.9754,36972077.69,1621987199999,35002880.02169300,107094,18958921.77000000,17974789.35539900,0,36062564.578826,-0.005826747893392829,0.6268994685462707
2021-05-26,0.9757,1.0593,0.9538,1.0237,35451063.14,1622073599999,35800454.29042200,106134,18174078.23000000,18353265.35013100,0,36291253.336418,0.04833115064977289,0.6157366313416122
2021-05-27,1.0235,1.0333,0.9356,0.9752,23181140.83,1622159999999,22857396.77771300,79054,11398208.18000000,11253641.38606000,0,22606248.537415996,-0.04853621575866344,0.613487551703618
2021-05-28,0.9756,0.987,0.8458,0.8999,29097745.82,1622246399999,26289787.40620300,76937,13627272.58000000,12323580.66779700,0,26185061.463418,-0.08035893212715883,0.6175144935145205
2021-05-29,0.9006,0.9306,0.7904,0.8315,21248486.75,1622332799999,18119828.20906100,54736,10107125.14000000,8629579.59232500,0,17668116.732625,-0.07905234740692049,0.6197527951243008
2021-05-30,0.8319,0.8946,0.7784,0.8491,19187675.92,1622419199999,16259850.24294700,43185,9749216.23000000,8266565.18217300,0,16292255.623672001,0.020945666372335303,0.6161499524030479
2021-05-31,0.8491,0.9385,0.8139,0.9359,23377949.57,1622505599999,20494327.00030600,60484,11987448.44000000,10528905.42744200,0,21879423.002563,0.09733166815789304,0.6265979918611563
2021-06-01,0.9356,0.9515,0.876,0.8952,20571318.46,1622591999999,18628230.88853600,57562,9789054.33000000,8870656.85005900,0,18415444.285392,-0.04446147616549527,0.6272867084673606
2021-06-02,0.8951,1.0708,0.8725,1.0187,34348783.01,1622678399999,33811777.74418800,108166,18045442.52000000,17802448.53343700,0,34991105.25228699,0.12923542659830514,0.6420341147114003
2021-06-03,1.0189,1.1537,1.0049,1.1113,34622258.52,1622764799999,37473229.62113200,114514,17462930.91000000,18920405.33264400,0,38475715.893276,0.08700319659558016,0.6394465216550759
2021-06-04,1.1119,1.133,0.9719,1.0284,30312792.76,1622851199999,31403186.19151300,93670,15261740.97000000,15800227.31982900,0,31173676.074384,-0.07752630479986639,0.6291939961966947
2021-06-05,1.0274,1.0942,0.947,0.9763,24711755.92,1622937599999,25264024.21325000,74468,12373699.59000000,12663377.31834600,0,24126087.304696,-0.05198955916010865,0.6249453705389239
2021-06-06,0.9752,1.0253,0.9642,1.0247,14186891.49,1623023999999,14168074.66287500,48934,7269313.10000000,7258675.15892100,0,14537307.709803,0.048385249574046434,0.6271964796955795
2021-06-07,1.0248,1.089,0.9469,0.9633,20579526.56,1623110399999,21199332.81856900,73497,10285541.35000000,10606476.74732600,0,19824257.935248,-0.06179027604209418,0.6285758572794379
2021-06-08,0.9632,0.9766,0.856,0.9406,26800573.26,1623196799999,24700688.06904900,72948,12954891.63000000,11946990.96161200,0,25208619.208356,-0.02384692025263039,0.6284832097018559
2021-06-09,0.9403,1.1523,0.9076,1.0415,68702978.3,1623283199999,72929946.82173300,205427,35083147.52000000,37212203.48197400,0,71554151.89945,0.10189929119007918,0.6329217954757863
2021-06-10,1.041,1.0522,0.9741,1.0496,36549059.74,1623369599999,36935252.90627000,107317,18084157.90000000,18289343.14645800,0,38361893.103104,0.0077471574887979094,0.6275475969817381
2021-06-11,1.0488,1.0819,0.9566,0.9732,39320033.71,1623455999999,40750118.24617000,125339,19749984.26000000,20509997.62244700,0,38266256.806572,-0.07557480728045718,0.6156862704497236
2021-06-12,0.9729,1.0198,0.9105,0.991,23426336.5,1623542399999,22392282.46799600,69239,11022381.47000000,10544025.58122700,0,23215499.471499998,0.01812492342062048,0.6122083230902208
2021-06-13,0.9907,1.0662,0.9626,1.0406,18843798.88,1623628799999,19155716.23846000,78140,9635996.28000000,9803993.88840200,0,19608857.114527997,0.04883821452621513,0.6068737177651273
2021-06-14,1.0411,1.0865,1.0241,1.0552,20055900.79,1623715199999,21154607.33392800,80095,10094919.39000000,10658622.94132400,0,21162986.513607997,0.013932852546901651,0.6051170107033983
2021-06-15,1.0557,1.0937,1.0229,1.0323,19892856.17,1623801599999,21016169.83522100,79583,9842854.59000000,10401528.89874200,0,20535395.424291003,-0.021940999931560373,0.6050676746868721
2021-06-16,1.0324,1.057,0.998,1.0178,15850200.16,1623887999999,16218259.37264600,60905,7861445.96000000,8050345.94355700,0,16132333.722848,-0.014145887316812055,0.600355182351274
2021-06-17,1.0178,1.0848,1.0128,1.0646,19738793.88,1623974399999,20877747.85509700,79750,10162752.47000000,10753180.53959600,0,21013919.964647997,0.04495570658392467,0.5986643148397476
2021-06-18,1.0646,1.0924,0.9599,0.992,20249014.79,1624060799999,20536547.34355200,78948,9816979.91000000,9964369.53717900,0,20087022.67168,-0.07063131345378422,0.46259629751574977
2021-06-19,0.9918,0.992,0.934,0.934,16974573.76,1624147199999,16350447.26855000,63225,7438658.65000000,7175639.97197400,0,15854251.891840002,-0.060246669056030114,0.43035180069270623
2021-06-20,0.935,0.9527,0.878,0.9339,19487672.69,1624233599999,17949625.86623300,73152,7614614.65000000,7011733.57398000,0,18199537.525191,-0.0001070721131705421,0.4106616001120448
2021-06-21,0.9342,0.9416,0.7505,0.7539,38568300.57,1624319999999,32502595.63842000,100529,16935411.83000000,14247155.16111300,0,29076641.799723,-0.2141096328980159,0.4624560691759706
2021-06-22,0.7536,0.8553,0.6712,0.7436,58396503.62,1624406399999,44066690.62924500,135364,27145827.00000000,20474572.16009000,0,43423640.091832,-0.013756477370367226,0.4294659013426437
2021-06-23,0.7434,0.8708,0.713,0.8323,35395187.77,1624492799999,28638167.98699100,77993,17298833.83000000,14022283.60900400,0,29459414.780971006,0.1126896969047605,0.40332290200355864
2021-06-24,0.8327,0.8947,0.796,0.8743,16670371.31,1624579199999,14166897.12836300,51395,8750506.80000000,7446969.88786900,0,14574905.636333,0.04923061343479576,0.4070153398497919
2021-06-25,0.8746,0.8988,0.7781,0.7904,23275845.25,1624665599999,19333094.61748000,61904,11598270.75000000,9630093.85694100,0,18397228.0856,-0.10088441975318721,0.41458393191597465
2021-06-26,0.7908,0.8259,0.7603,0.8094,20398020.3,1624751999999,16074277.17237900,49851,10801356.62000000,8515908.39668400,0,16510157.63082,0.02375408600810716,0.4136856386421533
2021-06-27,0.8089,0.849,0.771,0.8358,17215147.44,1624838399999,13809464.49019700,46851,8678121.66000000,6966329.55648600,0,14388420.230352001,0.032096117572049804,0.408081390475864
2021-06-28,0.836,0.8646,0.8218,0.8426,16809517.34,1624924799999,14169398.55090500,47623,8815964.81000000,7432913.57667700,0,14163699.310684,0.008102999531101163,0.40039455872186874
2021-06-29,0.8425,0.9241,0.839,0.8889,18054385.86,1625011199999,16040656.26229700,58235,9649892.13000000,8571831.20409700,0,16048543.590954,0.053492393702713095,0.40343000235566484
2021-06-30,0.8883,0.9124,0.833,0.8833,15547037.92,1625097599999,13475585.13319900,48654,7772371.05000000,6746752.54864400,0,13732698.594735999,-0.006319849496542768,0.39109326419737617
2021-07-01,0.8836,0.8839,0.8104,0.834,14216317.3,1625183999999,11923016.56554500,38721,7050062.66000000,5911233.13368500,0,11856408.6282,-0.05743149139233979,0.3927639550970705
2021-07-02,0.833,0.8459,0.7989,0.8456,9905766.21,1625270399999,8131007.50628100,32004,4782669.20000000,3929695.63410400,0,8376315.907176001,0.013813032197281194,0.3689987862811202
2021-07-03,0.8457,0.885,0.8337,0.8764,7593790.39,1625356799999,6538197.45969500,30501,3968358.37000000,3420451.16632500,0,6655197.897795999,0.035776173165283504,0.3590336416576154
2021-07-04,0.8761,0.9142,0.8562,0.88,7600902.36,1625443199999,6805709.28796700,35858,4126875.16000000,3695833.76917000,0,6688794.0768,0.004099299750940755,0.3518692556851551
2021-07-05,0.8793,0.8921,0.8386,0.8728,10676768.51,1625529599999,9272905.87182200,39597,5380446.87000000,4675619.97056500,0,9318683.555528,-0.00821547295339109,0.34855424232616106
2021-07-06,0.8731,0.9336,0.8715,0.9132,15437352.09,1625615999999,13988973.96728800,50945,8222016.79000000,7456011.83819800,0,14097389.928588,0.0452484801367794,0.34808281014735426
2021-07-07,0.9129,0.9408,0.9015,0.9062,12482528.75,1625702399999,11504861.79242900,46365,6516572.12000000,6011262.65925600,0,11311667.55325,-0.007694882422602647,0.34293158678330155
2021-07-08,0.906,0.9076,0.8474,0.8683,13542386.8,1625788799999,11777507.35767800,44596,6401562.02000000,5571782.41646000,0,11758854.45844,-0.042722755166438406,0.3446884531219217
2021-07-09,0.8676,0.9336,0.8288,0.9058,19120633.52,1625875199999,17074073.02250400,61624,9765273.63000000,8730722.54198100,0,17319469.842416,0.042281254055514125,0.33085729993039636
